patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
12-00023	0.141560791845318	0.0645185409878828	0.0911006489477351	0.00605284307711174	0.389064843578303	0.0565693278114316	0.251133003752219	0
12-00051	0.535372765441672	0.22675885903559	0.1401358346312	0.00867641507989103	0.014765282412913	0.0317732138367275	0	0.0425176295620071
12-00066	0.0896526612812663	0.0742139250055863	0.0527935173638779	0.00637660113504614	0.371885513492146	0.405077781722078	0	0
12-00150	0.209949164113465	0.116751091878856	0.128481355420071	0.270492194210843	0.0367746468663078	0.210272536291337	0	0.0272790112191192
12-00211	0.65794017417368	0.129309118508785	0.0701286605102908	0.0258843685735095	0.0276757938098897	0.0735759705972589	0	0.0154859138265868
12-00258	0.1328519486818	0.0279596039710579	0	0	0.200988904800011	0.0845897370918622	0.553609805455269	0
12-00294	0.359628140498346	0.025277182658882	0.406298337908728	0.0243544643698256	0.0155590900048562	0	0.157914695486819	0.0109680890725427
12-00301	0.210593630391399	0.0763781160171466	0.2482999813552	0.0573499020366639	0.39496166219755	0.00810198986646151	0	0.00431471813557846
12-00372	0.351697080195875	0.203370402620398	0.183756866637551	0	0.010185148105078	0.155196524399076	0.0722341928329922	0.0235597852090298
12-00423	0.152555032852831	0.435438747449234	0.203794201852528	0	0.0282888017300324	0.151019208062737	0.0230495849203881	0.0058544231322493
12-00426	0.426819660267894	0.121991951289556	0.277656487500389	0.0586456869395929	0.0515545559258738	0.0519031291835321	0	0.0114285288931623
13-00007	0.645979703934369	0.095672647908459	0.0562225429134664	0.131819950493489	0.0174093036885055	0.0386788038336698	0	0.0142170472280415
13-00028	0.441893591568564	0.139481875333974	0.221625749786652	0.0979441121413749	0.0479470299171001	0.0319925875980466	0.00431825847884812	0.0147967951754399
13-00034	0.0368108541821403	0.0320065591021124	0.0263205199684374	0	0.00410763020868084	0.527449296470004	0.373305140068625	0
13-00098	0.646640243966632	0.0783143660848894	0.03830422168132	0	0.0214048493370524	0.168673356570327	0	0.0466629623597793
13-00118	0.408837162698005	0.174530099163376	0.0323328755286583	0	0.0399917956925298	0.222509991359884	0.119031292705903	0.00276678285164319
13-00123	0.0840846756959468	0.0457528691683054	0	0	0.325007756352016	0	0.545154698783732	0
13-00145	0.370795492341029	0.0893339829641498	0.394166673768027	0.0489352696135227	0.0657508914737581	0.0158675790610853	0	0.0151501107784283
13-00146	0.461844576031851	0.0409152628620057	0.122030628044447	0	0.0063990835221078	0.354809876384805	0	0.0140005731547845
13-00147	0.46212307644012	0.134860437034068	0.145084423045279	0.0318014870645668	0.165144645175729	0.0408759450809982	0	0.0201099861592387
13-00149	0.447462331379204	0.318284686968621	0.0750226847797115	0.0209057774663495	0.0112919130247309	0.0222846505996674	0.101180412275879	0.00356754350583688
13-00150	0.249956532869308	0.0263481815219111	0.516796144932425	0.0491588206352965	0.124694002228498	0.013289792885903	0	0.0197565249266591
13-00157	0.323911006089803	0.0973746677650735	0.203327329251592	0.0124637713666384	0.14712600562938	0.0885388808681467	0.125038218295948	0.00222012073341807
13-00160	0	0.360991576026057	0.073104209355057	0.0763400831501459	0.237371541655982	0.252192589812758	0	0
13-00163	0.133129263335361	0.0562034602187689	0.127998808776064	0.000309229932785621	0.253533640489502	0.414706602497172	0.0117637485357917	0.00235524621455484
13-00165	0.590041924937177	0.153254236347752	0.124064566683368	0.0436981326838897	0.0413210604159568	0.0310749383483886	0	0.016545140583468
13-00166	0.32265521834981	0.0902879987945482	0.534434708546102	0.0268106200318128	0.0170575858943496	0.00389238761036704	0	0.00486148077301106
13-00186	0.26858168183212	0.103939663818549	0.263544928515536	0.0577120406064872	0.225812818733103	0.0550440483852942	0.0107340434428977	0.0146307746660133
13-00195	0.253745416123706	0.0489068770595169	0	0	0.267582784163524	0.0103127585413501	0.419452164111904	0
13-00232	0.303378391406623	0.219740933987721	0.131672509805321	0.0107059252173152	0.12047543335784	0.0987645182186803	0.115262288006498	0
13-00245	0.0807306205642776	0.0538363519200125	0.143653174681146	0	0.365399244771576	0.356380608062988	0	0
13-00255	0.100500994141634	0.0543681051440742	0.124175212725409	0	0.49675328146367	0.000895112125592717	0.22330729439962	0
13-00260	0.333515708915546	0.0919283762430245	0.324053303447352	0	0.0820780406146509	0.163224196785795	0	0.00520037399363196
13-00262	0.419751187824234	0.159066411069581	0.32913793301558	0.0114294049458688	0.0201255686812831	0.0269688752167817	0	0.0335206192466716
13-00266	0.117240833250119	0.0484359608433715	0.379685596263835	0.0568595898518974	0.277975344310934	0.11707652617276	0	0.00272614930708331
13-00281	0.359671866362719	0.339794134516581	0.170285162457194	0.0187006783558649	0.0498255987286076	0.0487467792733712	0	0.012975780305662
13-00331	0.50929614003851	0.0290838129221886	0.320447597835999	0.0557270518309555	0.0263136753669411	0.0377687113903711	0	0.0213630106150345
13-00353	0.20714656698257	0.132875856394025	0	0.16796638967893	0.154543909254418	0.0589273436504896	0.278539934039567	0
13-00354	0.253356708524521	0.141409097130687	0.311168066379259	0	0.0728475053861919	0.0145232235637742	0.14667597119041	0.0600194278251566
13-00365	0.225094018015403	0.35491856392535	0.144286310465058	0.0587759925043987	0.0537756600818668	0.0937604963772289	0	0.0693889586306952
13-00393	0.0275566280763534	0.483069607130532	0.146146875056143	0	0.155442987033233	0.187783902703738	0	0
13-00396	0.134605432850459	0.174300752910324	0.135716684880452	0.0433736331186123	0.351877121747299	0.0244096558731961	0.135716718619659	0
