refUMAP_1,refUMAP_2,Cell,orig.ident,nCount_RNA,nFeature_RNA,CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,Original.Source.of.Cell.Line,Characteristics,Growth.Medium,Supplements,Freezing.Medium,Doubling.Time.from.Vendor,Doubling.Time.Calculated.hrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,batch,predicted.celltype
-6.48589086532593,7.39993143081665,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,128510246,25070,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000697,A3/KAW,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,,,,,Asian,,,CCLE,HSRRB,suspension; grows in aggregates,,,5% DMSO,,40,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,211.4255162,DLBC,CCLE,Plasmablast
-5.70898246765137,5.83554267883301,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,106235624,25731,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000157,A4/Fuk,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,,52,asian,,Asian,,,CCLE,JCRB,SUSPENSION,RPMI-10% FBS,,5% DMSO,,118.1,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,116.4358582,DLBC,CCLE,Prog_B 2
-5.60290861129761,5.49698972702026,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,117838872,23348,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000105,ALL-SIL,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,,17,,,Caucasian,,TALL,CCLE,DSMZ,Mostly round cellsgrowing singly or in small clusters in suspention,80-90% RPHI 1640+10-20% h.i.FBS,,10%DMSO,~  48 hrs,74,T-cell_ALL,T-cell_ALL,Leukemia:ALL,122.8998449,ALL,CCLE,Prog_B 2
-3.78922510147095,0.789713501930237,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,79494835,24087,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000557,AML-193,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,female,,13,,,African_american,,,CCLE,ATCC,suspension,IMDM+5%FBS,"0.005mg/ml insulin, 0.005mg/ml transferrin and 5ng/ml GM-CSF",5% DMSO,,80.3,AML,AML,Leukemia:AML,133.3686368,LAML,CCLE,GMP
-5.73085927963257,5.92723178863525,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,130101294,24265,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000838,AMO-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,,64,,,Asian,,multiple_myeloma,CCLE,DSMZ,single suspension,RPMI-1640+20% FBS,,5% DMSO,50-90hrs,57.8,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,237.2233013,MM,CCLE,Prog_B 2
-5.7348895072937,5.85423946380615,BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,159670417,26206,BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000923,BCP-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,NS,NS,male,,92,,,Caucasian,,,CCLE,ATCC,Supsension,RPMI +20% FBS,,5%DMSO,,,lymphoma_other,B-cell_lymphoma_other,Lymphoma:NH_B_cell,353.1008508,DLBC,CCLE,Prog_B 2
-5.83367919921875,5.94633865356445,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,141043161,24082,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000080,BDCM,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,male,,,,,Caucasian,,acute myelogenous leukemia M5a,CCLE,NIBRI,,,,,,,B-cell_ALL,B-cell_ALL,Leukemia:ALL,83.25472569,ALL,CCLE,Prog_B 2
-5.62853336334229,5.67317056655884,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,132072676,24709,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000245,BL-41,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,male,,8,caucasian,,Caucasian,,,CCLE,DSMZ,Adherent,RPMI + 10 % FBS,,5%DMSO,,25.5,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,84.59612727,DLBC,CCLE,Prog_B 2
-5.72290372848511,5.4668231010437,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,139933115,24724,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000402,BL-70,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,male,,16,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,116.6768714,DLBC,CCLE,Prog_B 2
-5.55676651000977,5.59612941741943,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,123192088,24194,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000432,BV-173,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,NS,NS,male,,45,,,Caucasian,,,CCLE,DSMZ,"SUSPENSION ( small round cells, slow to grow)",RPMI-1640+20% FBS,2mM L-Glutamine,10% DMSO,,100.6,CML,CML,Leukemia:CML,119.0742413,LCML,CCLE,Prog_B 2
