ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,Group,Comparison
 Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,182,0.554520772670899,2.09038695217162,1.21571093391915e-10,6.07855466959574e-09,4.60690459169361e-09,2428,"tags=45%, list=13%, signal=39%",CD80/INHBA/DUSP2/GEM/IFIT2/CXCL10/CD83/CCL4/TRIB1/PHLDA1/PTGS2/IL7R/PTGER4/CDKN1A/DUSP1/ATF3/SERPINE1/TNFAIP3/GPR183/PTX3/NR4A1/PHLDA2/BTG2/TUBB2A/EGR1/MAFF/IL23A/SAT1/TNFRSF9/NFKBIE/TIPARP/NFKBIA/PLAU/DUSP4/JUN/IRF1/ZC3H12A/PPP1R15A/DNAJB4/MXD1/KLF4/JUNB/ABCA1/KLF6/FOSL1/CCL5/ID2/CXCL2/SLC2A6/PNRC1/MCL1/GADD45B/TLR2/NINJ1/RIPK2/SPHK1/PER1/RELB/CCNL1/EFNA1/ICAM1/KYNU/ZFP36/FUT4/GCH1/BTG1/REL/FOS/IER2/DDX58/DENND5A/CEBPD/CXCL3/BTG3/HES1/PLK2/TNF/SQSTM1/LDLR/IFIH1/FOSB,Pre_VV,non_responder_vs_refractory
 Interferon Gamma Response,HALLMARK_INTERFERON_GAMMA_RESPONSE,178,0.487961518916706,1.83233037791945,2.68463131968417e-06,6.71157829921043e-05,5.08666986887527e-05,2917,"tags=30%, list=16%, signal=26%",SLAMF7/OASL/IFIT2/IL2RB/SECTM1/ZBP1/CXCL10/GZMA/PTGS2/IFI44L/ITGB7/CDKN1A/TNFAIP3/FPR1/FCGR1A/IFI27/IRF9/MX1/NFKBIA/HELZ2/IRF1/TDRD7/OAS3/SOCS1/CCL5/STAT4/ISG15/PELI1/RIPK2/IRF4/ZNFX1/GPR18/SAMHD1/IRF8/IRF7/ICAM1/IFI44/GCH1/BTG1/FGL2/ARL4A/DDX58/HERC6/AUTS2/IFIH1/APOL6/NAMPT/IFI30/TRIM26/CFH/HIF1A/CASP8/CASP7/XAF1,Pre_VV,non_responder_vs_refractory
 Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,149,0.467998901004695,1.72403682756284,3.97844181587022e-05,0.00066307363597837,0.000502540018846764,1880,"tags=22%, list=10%, signal=20%",KLRD1/CD80/CD8B/SIT1/CD8A/CD2/GZMB/INHBA/IL2RB/GZMA/CCL4/FGR/CD3D/PRF1/TRAT1/CXCR3/SOCS1/CCL5/EREG/STAT4/CFP/CD247/TLR2/RIPK2/IRF4/ITGAL/CD96/IRF8/IRF7/CD4/ICAM1/CAPG/LY86,Pre_VV,non_responder_vs_refractory
 Coagulation,HALLMARK_COAGULATION,88,-0.440456625598334,-1.77284228955982,0.000134402267344803,0.00168002834181004,0.0012732846380034,2511,"tags=32%, list=14%, signal=28%",RAC1/F12/FBN1/CD9/FN1/SERPINA1/FURIN/C1R/MASP2/GSN/F2RL2/C1S/GNB2/PLEK/P2RY1/CTSH/THBD/LGMN/ITGA2/PLAT/GP9/THBS1/ITGB3/PF4/PROS1/GP1BA/VWF/CFI,Post_VV,non_responder_vs_refractory
 Hypoxia,HALLMARK_HYPOXIA,153,0.4003412690802,1.48959207395197,0.00405834024862241,0.0401237660366704,0.0304095911014765,3621,"tags=33%, list=20%, signal=26%",TKTL1/TGM2/CDKN1A/KLF7/HSPA5/DUSP1/ATF3/SERPINE1/TNFAIP3/MAFF/TIPARP/JUN/DDIT3/PPP1R15A/KLF6/KDELR3/PYGM/PNRC1/CXCR4/PGF/PLIN2/KLHL24/CCNG2/EFNA1/ZFP36/BTG1/FOS/GPC1/MT1E/P4HA2/SULT2B1/GLRX/DDIT4/HK2/ALDOC/NR3C1/IER3/RORA/SLC6A6/ZNF292/AK4/ADORA2B/S100A4/BNIP3L/TES/FOSL2/PHKG1/CDKN1B/IDS/ANXA2,Pre_VV,non_responder_vs_refractory
 Angiogenesis,HALLMARK_ANGIOGENESIS,23,-0.5706705382339,-1.75435240101594,0.00481485192440044,0.0401237660366704,0.0304095911014765,716,"tags=26%, list=4%, signal=25%",VEGFA/THBD/SPP1/PRG2/CXCL6/PF4,Post_VV,non_responder_vs_refractory
 Inflammatory Response,HALLMARK_INFLAMMATORY_RESPONSE,145,0.402854617976898,1.48204757163902,0.00746192342762763,0.053299453054483,0.0403953749465556,3631,"tags=40%, list=20%, signal=32%",LPAR1/AXL/INHBA/IL2RB/CXCL10/SLAMF1/IL7R/PTGER4/GPR132/CDKN1A/CD48/SERPINE1/GPR183/BTG2/FPR1/TNFRSF9/GABBR1/NFKBIA/IRF1/SGMS2/NMUR1/MXD1/ABCA1/KLF6/AHR/CCL5/EREG/RGS1/TLR2/RIPK2/SPHK1/C3AR1/EMP3/IRF7/ICAM1/ACVR1B/GCH1/LDLR/SLC31A2/NOD2/NLRP3/KCNA3/NAMPT/MMP14/HIF1A/OSMR/HBEGF/ITGA5/EIF2AK2/TNFRSF1B/GNA15/ADORA2B/P2RX4/P2RY2/SCN1B/IRAK2/P2RX7/RASGRP1,Pre_VV,non_responder_vs_refractory
 Bile Acid Metabolism,HALLMARK_BILE_ACID_METABOLISM,80,-0.3805639768209,-1.4817720892084,0.00957005906357558,0.0598128691473474,0.0453318587222001,5095,"tags=45%, list=28%, signal=33%",PEX6/AMACR/NEDD4/SLC22A18/PRDX5/ABCD3/SOD1/DHCR24/PEX1/PEX26/SLC23A2/FADS1/PEX7/IDH1/HSD17B6/CAT/PXMP2/GCLM/PFKM/LIPE/ABCA3/SLC35B2/BCAR3/PEX12/BMP6/ACSL5/HSD3B7/ABCA6/PIPOX/ALDH1A1/RXRA/PAOX/MLYCD/FADS2/SLC27A2/FDXR,Post_VV,non_responder_vs_refractory
 Uv Response Dn,HALLMARK_UV_RESPONSE_DN,115,-0.327389980481196,-1.36192279888861,0.0219045274306555,0.121691819059197,0.0922295891817074,1718,"tags=18%, list=9%, signal=17%",PDLIM5/RUNX1/MGLL/DAB2/NOTCH2/LTBP1/LAMC1/RXRA/DDAH1/FHL2/MTA1/FBLN5/PRKAR2B/DLC1/PMP22/SLC7A1/IGF1R/KALRN/PLCB4/ITGB3/BDNF,Post_VV,non_responder_vs_refractory
 Apical Junction,HALLMARK_APICAL_JUNCTION,131,-0.307797298367715,-1.30461476529653,0.0246182957546536,0.121945450955239,0.0924218154608124,4286,"tags=35%, list=23%, signal=27%",NEGR1/ACTB/COL16A1/LIMA1/ICAM5/ITGB1/CLDN15/IRS1/HRAS/CNN2/TAOK2/ITGB4/PKD1/CD34/LAMA3/SRC/MYH9/SKAP2/RAC2/ZYX/MADCAM1/LDLRAP1/AKT2/MVD/RASA1/FBN1/MAPK11/ITGA10/PTK2/AMIGO1/VCL/NF1/RHOF/PIK3CB/ITGA9/GNAI1/KCNH2/ACTN1/VASP/CD276/ITGA3/NEXN/ITGA2/CLDN9/CD274/VWF,Post_VV,non_responder_vs_refractory
 Il6 Jak Stat3 Signaling,HALLMARK_IL6_JAK_STAT3_SIGNALING,74,-0.346483216207538,-1.33228782925366,0.0268279992101525,0.121945450955239,0.0924218154608124,1282,"tags=18%, list=7%, signal=16%",IL1B/HMOX1/IL2RA/IL17RB/PDGFC/CCR1/DNTT/IL18R1/CSF2RB/TGFB1/ITGB3/PF4/CSF1,Post_VV,non_responder_vs_refractory
 Spermatogenesis,HALLMARK_SPERMATOGENESIS,82,0.41657186072755,1.43062320403354,0.0381241202752198,0.146655312706973,0.111149289630548,3111,"tags=24%, list=17%, signal=20%",GFI1/TKTL1/HSPA2/OAZ3/TEKT2/HSPA4L/POMC/RPL39L/HSPA1L/LPIN1/SCG5/SPATA6/ARL4A/TULP2/GSTM3/AGFG1/CCNA1/TLE4/PACRG/NEK2,Pre_VV,non_responder_vs_refractory
 Apoptosis,HALLMARK_APOPTOSIS,145,0.368764099134154,1.35663317048227,0.038130381303813,0.146655312706973,0.111149289630548,3918,"tags=34%, list=21%, signal=27%",CD2/SMAD7/PMAIP1/CDKN1A/ATF3/BTG2/SAT1/PRF1/ERBB3/JUN/IRF1/DDIT3/GPX3/TNFRSF12A/MMP2/BCL2L10/BMF/LMNA/EREG/LGALS3/MCL1/GADD45B/ETF1/GCH1/ANXA1/IFNGR1/BTG3/TNF/SQSTM1/CCNA1/AIFM3/EMP1/CASP8/CASP7/PAK1/DNAJA1/ERBB2/HSPB1/IER3/SOD2/GNA15/BNIP3L/CDKN1B/CYLD/BIK/RHOB/BCL10/TSPO/IGFBP6,Pre_VV,non_responder_vs_refractory
 Wnt Beta Catenin Signaling,HALLMARK_WNT_BETA_CATENIN_SIGNALING,32,-0.433048964155594,-1.43140541935758,0.045686985130454,0.163167804037336,0.123664019901981,3935,"tags=41%, list=21%, signal=32%",KAT2A/MYC/PTCH1/FRAT1/MAML1/CUL1/PSEN2/AXIN1/GNAI1/PPARD/NOTCH1/FZD1/LEF1,Post_VV,non_responder_vs_refractory
