ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,Group,Comparison
 E2f Targets,HALLMARK_E2F_TARGETS,195,-0.522509614262681,-2.51640180684007,1e-10,2.73255555302016e-09,1.7258245598022e-09,5137,"tags=62%, list=28%, signal=45%",LIG1/RRM2/SSRP1/NOLC1/RFC2/RBBP7/ANP32E/SLBP/PAN2/MYC/SYNCRIP/POLA2/PA2G4/GSPT1/UBE2T/CDKN3/SPC24/GINS3/TUBB/DUT/NUP205/MYBL2/PCNA/RAN/CDC25B/NBN/POLD3/SRSF1/DCTPP1/CTPS1/POLD2/BUB1B/RPA2/TMPO/AK2/MLH1/DNMT1/SHMT1/HMGB3/PPP1R8/XPO1/STMN1/MTHFD2/CHEK1/WEE1/NUDT21/MSH2/CSE1L/TIPIN/MCM5/DCK/TACC3/BARD1/EIF2S1/SMC1A/HMGB2/MAD2L1/MELK/HMGA1/SMC6/ZW10/TUBG1/RANBP1/NUP107/RPA1/PRKDC/CIT/USP1/SPC25/PAICS/NCAPD2/DSCC1/ASF1A/ASF1B/CDK4/POLD1/TIMELESS/ORC6/TCF19/SPAG5/UBR7/CHEK2/PLK4/UNG/MCM2/DCLRE1B/CBX5/HMMR/CCNB2/LYAR/DIAPH3/AURKA/PLK1/DLGAP5/CDCA3/TRIP13/RAD51AP1/MCM4/CDK1/MCM6/CDCA8/KIF2C/MCM3/CDKN2A/BRCA1/RACGAP1/CDC20/BIRC5/ESPL1/TOP2A/PRDX4/CDC25A/CENPE/MKI67/POLE/GINS1/KIF4A/KIF18B/CDKN2C/DEPDC1/E2F8,Post_VV,responder_vs_refractory
 G2m Checkpoint,HALLMARK_G2M_CHECKPOINT,186,-0.440275070240027,-2.17602340497222,1.1344526778475e-10,2.73255555302016e-09,1.7258245598022e-09,3507,"tags=39%, list=19%, signal=32%",NDC80/CENPA/HMGB3/G3BP1/XPO1/BUB3/STMN1/CHEK1/KIF11/NOTCH2/MCM5/CASP8AP2/TACC3/RBL1/CDC45/BARD1/E2F4/SMC1A/MAD2L1/HMGA1/ODF2/CDC6/RAD23B/UBE2C/NEK2/FBXO5/SMC2/CDK4/KIF15/POLQ/ORC6/PLK4/MCM2/HMMR/CENPF/CCNB2/KIF23/DKC1/AURKA/STIL/PLK1/PBK/CUL1/RAD54L/CCNF/CDK1/EXO1/MCM6/SLC7A1/KIF2C/MCM3/TPX2/RACGAP1/TTK/SQLE/CCNA2/CDC20/BIRC5/CCND1/ESPL1/TOP2A/CDC25A/CENPE/MKI67/POLE/TROAP/KIF4A/CDC7/CDKN2C/BUB1/MARCKS/EGF,Post_VV,responder_vs_refractory
 Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,182,0.540805694593984,1.96986875528727,1.63953333181209e-10,2.73255555302016e-09,1.7258245598022e-09,3658,"tags=52%, list=20%, signal=42%",CD80/PHLDA1/GEM/INHBA/KLF2/DUSP1/EGR1/CXCL10/DUSP2/CD83/CCL4/GPR183/CEBPB/SERPINE1/PTX3/MAFF/IFIT2/ATF3/SPSB1/TNFAIP6/DUSP4/TIPARP/PTPRE/TRIB1/NFKBIE/PNRC1/NR4A1/NFIL3/NFKBIA/NINJ1/TLR2/PER1/SAT1/BTG1/IRF1/ICAM1/ZC3H12A/IL23A/KLF4/PTGER4/KLF6/PLAU/TNFAIP2/TNFAIP3/PHLDA2/FOSB/JUN/CEBPD/KDM6B/PLAUR/GCH1/MCL1/RELB/FOSL1/TNFRSF9/CXCL1/JUNB/RHOB/MXD1/FOSL2/FUT4/PPP1R15A/TNIP1/IER3/LITAF/GADD45B/CCNL1/HES1/TGIF1/SQSTM1/IER2/TRAF1/CDKN1A/HBEGF/EIF1/SERPINB8/FOS/AREG/RNF19B/REL/B4GALT1/BTG2/DNAJB4/ABCA1/ZBTB10/CCL5/CXCL2/IL7R/PTGS2/ATP2B1/DENND5A/CD44/EGR3/NAMPT,Pre_VV,responder_vs_refractory
 Coagulation,HALLMARK_COAGULATION,88,-0.501118615513685,-2.17099142451101,3.0382915597634e-07,3.79786444970425e-06,2.39865123139216e-06,1138,"tags=26%, list=6%, signal=25%",F8/C1S/DPP4/RAPGEF3/C1R/PLEK/F12/P2RY1/A2M/GSN/TIMP3/FBN1/PF4/LGMN/ITGB3/THBD/GP9/PLAT/THBS1/PROS1/VWF/CFI/GP1BA,Post_VV,responder_vs_refractory
 Mitotic Spindle,HALLMARK_MITOTIC_SPINDLE,188,-0.350446448945916,-1.71768912922604,1.16612527434881e-05,0.000116612527434881,7.36500173272935e-05,3082,"tags=29%, list=17%, signal=24%",NEDD9/KIF11/NOTCH2/HDAC6/PCNT/CAPZB/PLEKHG2/SMC1A/ALS2/MYH10/FSCN1/RABGAP1/NEK2/FBXO5/BCL2L11/KIF15/ECT2/EPB41L2/BIN1/FARP1/CENPF/WASF1/CCNB2/ANLN/KIF23/PDLIM5/AURKA/PLK1/NET1/DLGAP5/LLGL1/CDK1/KIFAP3/RHOF/KIF2C/TPX2/RACGAP1/TTK/BIRC5/ESPL1/TOP2A/CENPE/CTTN/OPHN1/VCL/KIF4A/CDC42BPA/BUB1/GSN/TUBA4A/MARCKS/ARHGEF12/FGD4/ARAP3,Post_VV,responder_vs_refractory
 Mtorc1 Signaling,HALLMARK_MTORC1_SIGNALING,192,-0.338010547541111,-1.66181259886336,1.92498473428478e-05,0.000147041739556136,9.28684670880859e-05,3679,"tags=35%, list=20%, signal=28%",PSME3/GMPS/CTSC/CANX/PSPH/TBK1/PSMA4/CACYBP/TM7SF2/TCEA1/HPRT1/ADIPOR2/ELOVL5/MTHFD2/PFKL/ACLY/UCHL5/LDHA/ABCF2/M6PR/RPN1/CTH/TUBG1/DAPP1/SERPINH1/CCNG1/RPA1/PSMG1/GGA2/PLOD2/PGM1/GTF2H1/IDH1/G6PD/UNG/MCM2/PSMB5/FADS1/SSR1/CD9/PRDX1/SHMT2/AURKA/PLK1/SRD5A1/ASNS/TRIB3/CCNF/MCM4/BCAT1/EGLN3/SLC37A4/TMEM97/SQLE/CDC25A/DHCR7/FADS2/SLC1A5/SCD/DHCR24/BUB1/FDXR/TUBA4A/ELOVL6/ME1/LGMN/PSAT1,Post_VV,responder_vs_refractory
 Apical Junction,HALLMARK_APICAL_JUNCTION,131,-0.388715506594107,-1.80820031463858,2.0585843537859e-05,0.000147041739556136,9.28684670880859e-05,2885,"tags=34%, list=16%, signal=29%",ACTB/ADAM15/ITGB1/CLDN15/CNN2/LAYN/ZYX/MYH10/CRAT/FSCN1/TUBG1/TSPAN4/MAP4K2/MPZL2/LIMA1/ITGA2/EPB41L2/CAP1/RRAS/CD34/RSU1/MAPK11/SHC1/SORBS3/VASP/JAM3/COL16A1/RHOF/TRO/SRC/LDLRAP1/ACTN1/VCL/LAMA3/ITGA9/GNAI1/ITGA10/NEXN/PTK2/ITGB4/FBN1/CLDN9/CD276/CD274/VWF,Post_VV,responder_vs_refractory
 Fatty Acid Metabolism,HALLMARK_FATTY_ACID_METABOLISM,132,-0.332699374961832,-1.55269497769933,0.000711964628405225,0.00444977892753265,0.00281038669107326,4948,"tags=47%, list=27%, signal=35%",FASN/ACOT8/APEX1/SDHA/FH/ECH1/RAP1GDS1/BLVRA/ALDH3A2/GCDH/UBE2L6/RDH11/MLYCD/NBN/EPHX1/UGDH/ECHS1/HSDL2/BCKDHB/ACOT2/HIBCH/ETFDH/AADAT/MDH1/GPD2/ADSL/DECR1/SDHC/ADIPOR2/ELOVL5/CPT2/PDHB/HMGCL/LDHA/SMS/SUCLA2/SDHD/ENO2/CRAT/OSTC/CD36/ENO3/ACAT2/IDH1/UROS/ACADM/CBR1/CRYZ/UROD/MGLL/SUCLG2/EHHADH/CEL/ALAD/CD1D/ACSL5/HPGD/DHCR24/CBR3/VNN1/ME1/ALDH1A1,Post_VV,responder_vs_refractory
 Peroxisome,HALLMARK_PEROXISOME,89,-0.36961147875005,-1.60718429495406,0.00137715175032531,0.00763491933183638,0.00482205431484403,4671,"tags=49%, list=25%, signal=37%",PEX11B/ACOT8/ECH1/FDPS/IDE/ISOC1/PEX13/SCP2/RDH11/MLYCD/SOD1/CTPS1/SLC25A17/ESR2/IDH2/ATXN1/ELOVL5/PEX5/ABCD1/MSH2/HMGCL/PEX11A/SLC27A2/ABCB1/ABCB9/SLC35B2/CRAT/EPHX2/DLG4/NUDT19/ABCC5/IDH1/CLN6/FADS1/PRDX1/ABCD3/EHHADH/CEL/TOP2A/HSD3B7/ACSL5/DHCR24/SEMA3C/ALDH1A1,Post_VV,responder_vs_refractory
 Bile Acid Metabolism,HALLMARK_BILE_ACID_METABOLISM,80,-0.383189624963238,-1.65189771426349,0.00159219205249426,0.00763491933183638,0.00482205431484403,3371,"tags=36%, list=18%, signal=30%",HSD17B6/IDH2/ATXN1/ABCD1/PEX7/PEX19/PEX11A/SLC27A2/SLC35B2/NEDD4/EPHX2/BMP6/PXMP2/GCLM/IDH1/FADS1/OPTN/PAOX/PFKM/SLC29A1/PECR/ABCD3/HSD3B7/FADS2/ACSL5/ABCA3/DHCR24/FDXR/ALDH1A1,Post_VV,responder_vs_refractory
