ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,Group,Comparison
 E2f Targets,HALLMARK_E2F_TARGETS,195,-0.49667783887453,-2.46829863655806,1e-10,1.66666666666667e-09,1.19298245614035e-09,4115,"tags=49%, list=22%, signal=38%",MMS22L/MCM2/RFC2/PTTG1/SMC3/ORC6/RFC3/DCK/PCNA/ORC2/SRSF1/RAD21/RBBP7/RRM2/USP1/SMC4/CENPM/RANBP1/LYAR/AK2/PLK4/ZW10/RAD50/SMC1A/NBN/NUDT21/AURKB/HMMR/UBR7/EED/CIT/RPA2/RAN/DIAPH3/SMC6/MAD2L1/LBR/MKI67/CCP110/NCAPD2/EXOSC8/CCNB2/HMGB3/KIF18B/PRDX4/POLD3/BRCA1/CDKN3/HELLS/NUP205/CENPE/EIF2S1/MCM4/RAD1/SPC24/CSE1L/TIMELESS/ASF1B/RPA1/CBX5/CDCA3/PDS5B/IPO7/POLE/PSMC3IP/STMN1/TUBG1/MCM3/MSH2/KIF2C/TRIP13/NUP107/MCM6/SPAG5/BRMS1L/CDCA8/ASF1A/BIRC5/ANP32E/RAD51AP1/AURKA/PLK1/KIF4A/GINS1/CDK1/CDC20/BARD1/MELK/SPC25/DEPDC1/RACGAP1/BUB1B/E2F8/DLGAP5/TOP2A,Post_VV,responder_vs_relapse
 G2m Checkpoint,HALLMARK_G2M_CHECKPOINT,186,-0.422349123489742,-2.14335157787132,1e-10,1.66666666666667e-09,1.19298245614035e-09,2986,"tags=37%, list=16%, signal=31%",HMGN2/RAD54L/SQLE/PLK4/DTYMK/EWSR1/RPS6KA5/SMC1A/AURKB/HMMR/RPA2/CASP8AP2/DR1/G3BP1/CBX1/MAD2L1/LBR/MKI67/DKC1/MEIS1/CCNB2/HMGB3/CDKN3/POLQ/CENPE/CENPF/CCNF/TLE3/MARCKS/FBXO5/TRAIP/PDS5B/TTK/POLE/UBE2C/STMN1/MCM3/BUB3/KIF11/KIF2C/CDC7/NUSAP1/NUP50/TROAP/MCM6/BIRC5/TPX2/BUB1/KIF23/NDC80/SMC2/NEK2/CDC6/AURKA/PLK1/KIF4A/CCNA2/SLC12A2/CDK1/EXO1/CDC20/BARD1/RACGAP1/STIL/PBK/KIF15/TOP2A/EGF,Post_VV,responder_vs_relapse
 Tnfa Signaling Via Nfkb,HALLMARK_TNFA_SIGNALING_VIA_NFKB,182,0.597753892011606,2.23493524086626,1e-10,1.66666666666667e-09,1.19298245614035e-09,3974,"tags=55%, list=22%, signal=43%",MAFF/SPSB1/AREG/DUSP1/NR4A1/CXCL1/CEBPB/PTX3/KLF2/BCL3/ZC3H12A/DUSP2/NINJ1/TRIB1/RELB/IER3/PNRC1/PER1/JUNB/SERPINE1/PTGER4/RHOB/BTG1/PHLDA2/LIF/CXCL3/INHBA/IFIT2/NR4A2/FOSB/ZFP36/SQSTM1/CEBPD/SIK1/TUBB2A/FOSL2/PHLDA1/ATF3/TNFAIP3/IRS2/NFKB2/TNIP2/TRAF1/IFIH1/NFKBIA/IRF1/EGR3/GPR183/MAP2K3/RNF19B/SGK1/NFE2L2/CLCF1/PPP1R15A/CD83/IER2/KDM6B/ICOSLG/FOSL1/NFIL3/IFNGR2/JUN/NFKBIE/BTG2/KLF4/CXCL2/BCL6/EIF1/PFKFB3/HBEGF/MCL1/GADD45B/BIRC3/CSF1/FOS/CCNL1/IL1B/CDKN1A/LITAF/TIPARP/SOCS3/CD80/REL/MXD1/KLF6/BHLHE40/RELA/DNAJB4/PMEPA1/BTG3/CXCL10/NAMPT/PDE4B/KLF9/ICAM1/TGIF1/TNIP1/ZBTB10/MYC/FUT4,Pre_VV,responder_vs_relapse
 Mitotic Spindle,HALLMARK_MITOTIC_SPINDLE,188,-0.34734319553149,-1.76692738145137,8.44537693923556e-07,1.05567211740444e-05,7.55638989300024e-06,4414,"tags=39%, list=24%, signal=30%",KIF3B/PCM1/NUMA1/ABI1/DYNC1H1/KIF20B/CDC27/PDLIM5/SMC3/SPTAN1/EPB41/TUBA4A/MAPRE1/STK38L/CEP57/BCL2L11/SMC4/CLASP1/RASAL2/KNTC1/ITSN1/DOCK2/CEP72/MYH10/TBCD/NF1/BIN1/ARAP3/SMC1A/PIF1/MYH9/FLNB/PLEKHG2/TUBGCP5/CDC42/CCNB2/CDK5RAP2/CENPE/CENPF/KIFAP3/MARCKS/FBXO5/LRPPRC/YWHAE/TTK/ALS2/TLK1/KIF11/KIF2C/NUSAP1/TSC1/ANLN/CKAP5/BIRC5/TPX2/BUB1/KIF23/NDC80/NEK2/PCNT/AURKA/PLK1/KIF4A/CDK1/FGD6/RACGAP1/EPB41L2/FGD4/ECT2/DLGAP5/KIF15/FARP1/TOP2A,Post_VV,responder_vs_relapse
 Protein Secretion,HALLMARK_PROTEIN_SECRETION,91,-0.433134279100058,-2.01031762837151,5.33799597012629e-06,5.33799597012629e-05,3.82088132598514e-05,4415,"tags=49%, list=24%, signal=38%",CLCN3/CLN5/RAB14/SCAMP3/DNM1L/RER1/GALC/VAMP4/SEC31A/AP3B1/ARFGAP3/COPE/TSG101/TMED2/SCAMP1/STX7/COG2/ICA1/ZW10/ABCA1/CTSC/AP2B1/ARFIP1/TPD52/VPS45/GOSR2/YIPF6/COPB1/USO1/ATP7A/LMAN1/CLTC/M6PR/COPB2/SEC22B/SNAP23/PPT1/TMED10/ARCN1/LAMP2/TMX1/TOM1L1/ANP32E/SNX2/ADAM10,Post_VV,responder_vs_relapse
 Oxidative Phosphorylation,HALLMARK_OXIDATIVE_PHOSPHORYLATION,179,-0.339684286925414,-1.70865205926622,1.49150386660742e-05,0.000124291988883952,8.89668973064076e-05,5617,"tags=47%, list=31%, signal=33%",COX5A/ATP6V1G1/HADHB/ETFB/COX7A2L/PMPCA/OGDH/ALAS1/ATP6V1E1/TIMM17A/GRPEL1/ATP6V0E1/LDHB/ECHS1/HCCS/MTX2/COX11/IDH2/TIMM8B/MRPS30/FH/GOT2/TIMM50/TIMM10/BDH2/VDAC2/MRPS22/MTRF1/NDUFB6/ATP6V0B/ATP6AP1/DLD/ACAT1/AIFM1/NQO2/PDHA1/NDUFA5/NDUFV1/SDHC/OPA1/NDUFB5/NDUFA9/SLC25A5/PDP1/SDHA/NDUFC1/IDH3A/UQCR10/MRPS15/MRPS11/PDHX/NDUFS2/ISCU/NDUFS1/COX10/ETFA/MRPL15/COX6A1/NDUFAB1/VDAC3/MTRR/ACADM/SDHB/ETFDH/MRPL35/NDUFB3/DECR1/UQCRC1/SUCLA2/LRPPRC/ALDH6A1/FXN/DLAT/NDUFA8/ECH1/NNT/PDHB/COX15/CYB5A/MDH1/ATP6V1C1/SDHD/ACADSB/PRDX3/IDH1,Post_VV,responder_vs_relapse
 Fatty Acid Metabolism,HALLMARK_FATTY_ACID_METABOLISM,132,-0.318778186773015,-1.58992296873163,0.000678868912422179,0.00484906366015842,0.00347090872516603,3218,"tags=30%, list=18%, signal=25%",ACOX1/HSDL2/UGDH/APEX1/HMGCL/UROD/ADIPOR2/NBN/EHHADH/GCDH/CRYZ/OSTC/BCKDHB/ACADM/ETFDH/CCDC58/LGALS1/DECR1/HIBCH/ACAT2/ME1/SUCLA2/HPGD/ECH1/ACSL5/DHCR24/RAP1GDS1/SUCLG2/ACSL4/PDHB/MDH1/SDHD/CA2/ALDH1A1/CD36/IDH1/ALDH3A1/BMPR1B/CD1D/VNN1,Post_VV,responder_vs_relapse
 Coagulation,HALLMARK_COAGULATION,88,-0.36298493384845,-1.66811367343868,0.000825181329029029,0.00515738330643143,0.00369160068249829,1435,"tags=23%, list=8%, signal=21%",ACOX2/FBN1/ITGB3/F8/LAMP2/C1R/PLAT/CTSK/CLU/SERPINA1/CTSH/C1S/PROS1/GP1BA/TF/CFH/CTSE/A2M/CFI/DPP4,Post_VV,responder_vs_relapse
 Hypoxia,HALLMARK_HYPOXIA,153,0.423194963592232,1.55722082930154,0.00100771328742555,0.00559840715236417,0.00400728090906067,3682,"tags=33%, list=20%, signal=26%",HAS1/HS3ST1/MAFF/DUSP1/CITED2/CXCR4/CP/TPBG/IER3/PNRC1/SERPINE1/BCL2/SULT2B1/RRAGD/BTG1/NDST2/ZFP36/ERRFI1/FOSL2/ATF3/TNFAIP3/IRS2/MT2A/ADM/SIAH2/PPP1R15A/GPC1/PHKG1/NFIL3/JUN/KLF7/DDIT4/FBP1/PFKFB3/PYGM/B3GALT6/FOS/MAP3K1/ALDOC/CDKN1A/TIPARP/FOXO3/KLF6/BHLHE40/RORA/JMJD6/SLC25A1/SLC2A5/SLC2A1/PLIN2,Pre_VV,responder_vs_relapse
 Complement,HALLMARK_COMPLEMENT,153,-0.29873060144289,-1.48370266403339,0.00118383728312893,0.00591918641564463,0.004236891329093,3816,"tags=39%, list=21%, signal=31%",LAP3/GNB4/GZMA/DOCK10/CASP3/FYN/CALM1/PDP1/GP9/CDK5R1/USP15/PSMB9/PSEN1/APOBEC3F/AKAP10/CTSB/GNAI3/SERPING1/CR1/FN1/FCER1G/CTSC/MSRB1/GCA/GMFB/PIK3R5/KIF2A/ITGAM/PLA2G4A/APOBEC3G/ME1/CASP10/PLSCR1/CD40LG/F8/PFN1/LAMP2/CCL5/CASP1/C1R/PIK3CG/CTSL/DGKH/CA2/PLAT/LCK/ZEB1/PLAUR/CD36/FCN1/CLU/SERPINA1/CTSH/C1S/GP1BA/CFH/GNGT2/DPP4/CPM,Post_VV,responder_vs_relapse
