# Mapping between sequencing sample IDs (Sample) and manuscript sample IDs (D.ID_1), as referenced in Supplementary Table 6 of the manuscript
# Each Sample represents a population-level sequencing sample; D.ID_1 represents a patient at a specific timepoint
# Columns: D.ID_1, Population, Sample
"D.ID_1"	"Population"	"Sample"
"14"	"MATURE"	"P13_mature-d1"
"44"	"MATURE"	"D44_mature-d1"
"55"	"MATURE"	"D55_mature-d1"
"59"	"MATURE"	"D59_mature-d1"
"60"	"MATURE"	"D60_mature-d1"
"61"	"MATURE"	"D61_mature-d1"
"63"	"MATURE"	"D63_mature-d1"
"66"	"MATURE"	"D66_mature-d1"
"71"	"MATURE"	"D71_mature-d1"
"75"	"LSC"	"P22_lsc-d1"
"75"	"MATURE"	"P22D_mature-d1"
"78"	"MATURE"	"D78_mature-d1"
"80"	"MATURE"	"D80_mature-d1"
"81"	"MATURE"	"D81_mature-d1"
"83"	"MATURE"	"D83_mature-d1"
"87"	"LSC"	"D87_lsc-d1"
"87"	"MATURE"	"D87_mature-d1"
"88"	"LSC"	"D88_lsc-d1"
"88"	"MATURE"	"D88_mature-d1"
"89"	"LSC"	"D89_lsc-d1"
"89"	"MATURE"	"D89_mature-d1"
"93"	"LSC"	"D93_lsc-d1"
"93"	"MATURE"	"D93_mature-d1"
"94"	"LSC"	"D94_lsc-d1"
"95"	"LSC"	"D95_lsc-d1"
"97"	"LSC"	"D97_lsc-d1"
"99"	"LSC"	"D98_lsc-d1"
"98"	"MATURE"	"D99_mature-d1"
"100"	"LSC"	"D100_lsc-d1"
"104"	"LSC"	"D104_lsc-d1"
"106"	"LSC"	"D106_lsc-d1"
"107"	"LSC"	"D107_lsc-d1"
"115"	"LSC"	"D115_lsc-d1"
"116"	"BULK"	"D116_bulk-d1"
"120"	"LSC"	"D120_lsc-d1"
"121"	"LSC"	"D121_lsc-d1"
"123"	"MATURE"	"D123_mature-d1"
"124"	"LSC"	"D124_lsc-d1"
"124"	"MATURE"	"D124_mature-d1"
"129"	"LSC"	"D129_lsc-d1"
"R13"	"LSC"	"R13_lsc-r1"
"R16"	"LSC"	"R16_lsc-r1"
"R18"	"LSC"	"R18_lsc-r1"
"R19"	"LSC"	"R19_lsc-r1"
"R20"	"LSC"	"R20_lsc-r1"
"R26"	"LSC"	"R26_lsc-r1"
"P15D"	"MATURE"	"P15_mature-d1"
"P22R"	"LSC"	"P22_lsc-r1"
"P24R1"	"LSC"	"P24_lsc-r1"
"P25R"	"LSC"	"P24_lsc-r2"
"105"	"LSC"	"D105_lsc-d1"
"109"	"LSC"	"D109_lsc-d1"
"116"	"LSC"	"D116_lsc-d1"
"119"	"LSC"	"D119_lsc-d1"
"126"	"LSC"	"D126_lsc-d1"
"126"	"MATURE"	"D126_mature-d1"
"127"	"LSC"	"D127_lsc-d1"
"128"	"MATURE"	"D128_mature-d1"
"129"	"MATURE"	"D129_mature-d1"
"147"	"MATURE"	"D147_mature-d1"
"R21"	"LSC"	"R21_lsc-r1"
"R22"	"LSC"	"R22_lsc-r1"
"R22"	"MATURE"	"R22_mature-r1"
"R23"	"LSC"	"R23_lsc-r1"
"R23"	"MATURE"	"R23_mature-r1"
"R24"	"LSC"	"R24_lsc-r1"
"R25"	"MATURE"	"P26_mature-r1"
"P26D"	"LSC"	"P26_lsc-d1"
"P26D"	"MATURE"	"P26_mature-d1"
"P27D"	"MATURE"	"P27_mature-d1"
"18"	"LMPP"	"B8_lmpp-d1"
"18"	"MEP"	"B8_mep-d1"
"51"	"MATURE"	"D51_mature-d1"
"53"	"MATURE"	"D53_mature-d1"
"64"	"MATURE"	"D64_mature-d1"
"67"	"MATURE"	"D67_mature-d1"
"74"	"MATURE"	"D74_mature-d1"
"77"	"MATURE"	"D77_mature-d1"
"85"	"MATURE"	"D85_mature-d1"
"91"	"LSC"	"D91_lsc-d1-rep2"
"91"	"MATURE"	"D91_mature-d1-rep2"
"98"	"LSC"	"D99_lsc-d1"
"101"	"LSC"	"D101_lsc-d1"
"101"	"MATURE"	"D101_mature-d1"
"110"	"LSC"	"D110_lsc-d1"
"115"	"MATURE"	"D115_mature-d1"
"118"	"LSC"	"D118_lsc-d1"
"118"	"MATURE"	"D118_mature-d1"
"119"	"MATURE"	"D119_mature-d1"
"120"	"MATURE"	"D120_mature-d1"
"121"	"MATURE"	"D121_mature-d1"
"130"	"LSC"	"D130_lsc-d1"
"147"	"LSC"	"D147_lsc-d1"
"180"	"LSC"	"D180_lsc-d1"
"180"	"MATURE"	"D180_mature-d1"
"181"	"LSC"	"D181_lsc-d1"
"183"	"LSC"	"D183_lsc-d1"
"183"	"MATURE"	"D183_mature-d1"
"185"	"LSC"	"D185_lsc-d1"
"185"	"MATURE"	"D185_mature-d1"
"186"	"LSC"	"D186_lsc-d1"
"186"	"MATURE"	"D186_mature-d1"
"R12"	"LSC"	"R12_lsc-r1-rep2"
"R12"	"MATURE"	"R12_mature-r1"
"R15"	"LSC"	"R15_lsc-r1"
"R21"	"MATURE"	"R21_mature-r1"
"R24"	"MATURE"	"R24_mature-r1"
"R26"	"MATURE"	"R26_mature-r1"
"R27"	"LSC"	"R27_lsc-r1"
"R28"	"LSC"	"R28_lsc-r1"
"R28"	"MATURE"	"R28_mature-r1"
"R25"	"LSC"	"P26_lsc-r1"
"P27D"	"LSC"	"P27_lsc-d1"
"P27R"	"LSC"	"P27_lsc-r1"
"P28D"	"LSC"	"P28_lsc-d1"
"P28D"	"MATURE"	"P28_mature-d1"
"P28R"	"LSC"	"P28_lsc-r1"
"P28R"	"MATURE"	"P28_mature-r1"
"1"	"LSC"	"HIAML6_lsc1"
"1"	"MATURE"	"HIAML6_mature1"
"2"	"LSC"	"HIAML7_lsc1-reseq1"
"2"	"MATURE"	"HIAML7_mature1"
"3"	"LSC"	"HIAML12_lsc1-reseq1"
"3"	"MATURE"	"HIAML12_mature1"
"4"	"LSC"	"HIAML14_lsc1"
"4"	"MATURE"	"HIAML14_mature1"
"5"	"LSC"	"HIAML23_lsc1"
"5"	"MATURE"	"HIAML23_mature1"
"6"	"LSC"	"HIAML27_lsc1"
"6"	"MATURE"	"HIAML27_mature1"
"7"	"LSC"	"HIAML29_lsc1"
"7"	"MATURE"	"HIAML29_mature1-reseq1"
"8"	"LSC"	"HIAML30_lsc1"
"8"	"MATURE"	"HIAML30_mature1-reseq1"
"9"	"LSC"	"HIAML33_lsc1"
"9"	"MATURE"	"HIAML33_mature1"
"10"	"LSC"	"BAML4_lsc1"
"10"	"MATURE"	"BAML4_mature1"
"11"	"LSC"	"BAML3_lsc1"
"11"	"MATURE"	"BAML3_mature1"
"12"	"LSC"	"HIAML40_lsc1"
"12"	"MATURE"	"HIAML40_mature1"
"13"	"LSC"	"HIAML41_lsc1"
"13"	"MATURE"	"HIAML41_mature1"
"14"	"LSC"	"P13_lsc-d1"
"15"	"LSC"	"HIAML49_lsc1"
"15"	"MATURE"	"HIAML49_mature1"
"16"	"LSC"	"HIAML50_lsc1"
"16"	"MATURE"	"HIAML50_mature1"
"17"	"LSC"	"HIAML58_lsc1"
"17"	"MATURE"	"HIAML58_mature1"
