cell	orig.ident	nCount_RNA	nFeature_RNA	title	geo_accession	population	lsc_activity	CD34	predicted.celltype.score	predicted.celltype	sample	patient
GSM5973363	GSE199336	34728317	36693	LSC0001_Bl_CD34mCD38m	GSM5973363	CD34-CD38-		Negative	0.927709575825769	MEP	Zeng et al.	LSC0001
GSM5973364	GSE199336	32273872	39631	LSC0001_Bl_CD34pCD38m	GSM5973364	CD34+CD38-		Positive	0.496212721434723	LMPP	Zeng et al.	LSC0001
GSM5973365	GSE199336	48760201	29543	LSC0001_Bl_CD34pCD38p	GSM5973365	CD34+CD38+		Positive	0.571642547598293	MEP	Zeng et al.	LSC0001
GSM5973366	GSE199336	32268702	40618	LSC0002_Bl_CD34mCD38p	GSM5973366	CD34-CD38+		Negative	0.497126822566433	Plasmablast	Zeng et al.	LSC0002
GSM5973367	GSE199336	46905352	43395	LSC0002_Bl_CD34pCD38m	GSM5973367	CD34+CD38-		Positive	0.65923627606369	LMPP	Zeng et al.	LSC0002
GSM5973368	GSE199336	55759519	37923	LSC0002_Bl_CD34pCD38p	GSM5973368	CD34+CD38+		Positive	0.567564981604494	LMPP	Zeng et al.	LSC0002
GSM5973369	GSE199336	57812189	39742	LSC0003_Bl_CD34mCD38m	GSM5973369	CD34-CD38-		Negative	0.289525751789863	CD14 Mono	Zeng et al.	LSC0003
GSM5973370	GSE199336	27941356	25757	LSC0003_Bl_CD34pCD38p	GSM5973370	CD34+CD38+		Positive	0.537855833923916	LMPP	Zeng et al.	LSC0003
GSM5973371	GSE199336	50800311	26685	LSC0004_Bl_CD34mCD38p	GSM5973371	CD34-CD38+		Negative	0.71817541550678	Plasmablast	Zeng et al.	LSC0004
GSM5973372	GSE199336	29906749	28711	LSC0004_Bl_CD34pCD38m	GSM5973372	CD34+CD38-		Positive	0.629864277214418	HSC	Zeng et al.	LSC0004
GSM5973373	GSE199336	50209835	28879	LSC0004_Bl_CD34pCD38p	GSM5973373	CD34+CD38+		Positive	0.488685597366163	LMPP	Zeng et al.	LSC0004
GSM5973374	GSE199336	64989844	26644	LSC0005_Bl_CD34mCD38m	GSM5973374	CD34-CD38-		Negative	0.453101746940536	CD16 Mono	Zeng et al.	LSC0005
GSM5973375	GSE199336	39138620	28405	LSC0005_Bl_CD34mCD38p	GSM5973375	CD34-CD38+		Negative	0.54759941480145	GMP	Zeng et al.	LSC0005
GSM5973376	GSE199336	44961549	27865	LSC0006_Bl_CD34mCD38p	GSM5973376	CD34-CD38+		Negative	0.792815534041407	GMP	Zeng et al.	LSC0006
GSM5973377	GSE199336	52546325	30885	LSC0006_Bl_CD34pCD38m	GSM5973377	CD34+CD38-		Positive	0.78355933490094	MEP	Zeng et al.	LSC0006
GSM5973378	GSE199336	42400690	30687	LSC0006_Bl_CD34pCD38p	GSM5973378	CD34+CD38+		Positive	0.462307794345234	MEP	Zeng et al.	LSC0006
GSM5973379	GSE199336	64671998	26907	LSC0007_Bl_CD34mCD38p	GSM5973379	CD34-CD38+		Negative	0.475279517852606	Plasmablast	Zeng et al.	LSC0007
GSM5973380	GSE199336	60799721	28944	LSC0007_Bl_CD34pCD38m	GSM5973380	CD34+CD38-		Positive	0.576560158500073	HSC	Zeng et al.	LSC0007
GSM5973381	GSE199336	40701109	30304	LSC0007_Bl_CD34pCD38p	GSM5973381	CD34+CD38+		Positive	0.413378297519358	GMP	Zeng et al.	LSC0007
GSM5973382	GSE199336	53565348	28370	LSC0008_Bl_CD34pCD38m	GSM5973382	CD34+CD38-		Positive	0.642181009865923	HSC	Zeng et al.	LSC0008
GSM5973383	GSE199336	64839906	29013	LSC0008_Bl_CD34pCD38p	GSM5973383	CD34+CD38+		Positive	0.42784936375408	HSC	Zeng et al.	LSC0008
GSM5973384	GSE199336	83380919	25953	LSC0009_Bl_CD34mCD38p	GSM5973384	CD34-CD38+		Negative	0.399748939278325	CD14 Mono	Zeng et al.	LSC0009
GSM5973385	GSE199336	80538981	26825	LSC0009_Bl_CD34pCD38p	GSM5973385	CD34+CD38+		Positive	0.529249014010446	LMPP	Zeng et al.	LSC0009
GSM5973386	GSE199336	64414153	31620	LSC0012_Bl_CD34mCD38m	GSM5973386	CD34-CD38-		Negative	0.531780404902373	MEP	Zeng et al.	LSC0012
GSM5973387	GSE199336	50216257	31111	LSC0012_Bl_CD34mCD38p	GSM5973387	CD34-CD38+		Negative	0.420459934169702	LMPP	Zeng et al.	LSC0012
GSM5973388	GSE199336	82831679	29525	LSC0012_Bl_CD34pCD38m	GSM5973388	CD34+CD38-		Positive	0.51914566242097	LMPP	Zeng et al.	LSC0012
GSM5973389	GSE199336	62296009	25453	LSC0013_Bl_CD34mCD38m	GSM5973389	CD34-CD38-		Negative	0.869030279796594	MEP	Zeng et al.	LSC0013
GSM5973390	GSE199336	90631540	30812	LSC0013_Bl_CD34pCD38p	GSM5973390	CD34+CD38+		Positive	0.449302030525312	HSC	Zeng et al.	LSC0013
GSM5973391	GSE199336	88154354	29236	LSC0014_Bl_CD34mCD38p	GSM5973391	CD34-CD38+		Negative	0.320243306502972	CD14 Mono	Zeng et al.	LSC0014
GSM5973392	GSE199336	83138173	27940	LSC0014_Bl_CD34pCD38m	GSM5973392	CD34+CD38-		Positive	0.602385556659638	HSC	Zeng et al.	LSC0014
GSM5973393	GSE199336	75994262	31085	LSC0016_Bl_CD34mCD38m	GSM5973393	CD34-CD38-		Negative	0.501227481472139	MEP	Zeng et al.	LSC0016
GSM5973394	GSE199336	44677920	29881	LSC0016_Bl_CD34mCD38p	GSM5973394	CD34-CD38+		Negative	0.29590140016301	MEP	Zeng et al.	LSC0016
GSM5973395	GSE199336	58467681	26230	LSC0016_Bl_CD34pCD38m	GSM5973395	CD34+CD38-		Positive	0.581093169442658	HSC	Zeng et al.	LSC0016
GSM5973396	GSE199336	48899391	28232	LSC0017_Bl_CD34pCD38p	GSM5973396	CD34+CD38+		Positive	0.526065957199689	HSC	Zeng et al.	LSC0017
GSM5973397	GSE199336	44078078	40798	LSC0018_Bl_CD34mCD38p	GSM5973397	CD34-CD38+		Negative	0.645120505858391	GMP	Zeng et al.	LSC0018
GSM5973398	GSE199336	44612196	36084	LSC0018_Bl_CD34pCD38m	GSM5973398	CD34+CD38-		Positive	0.676166178326774	HSC	Zeng et al.	LSC0018
GSM5973399	GSE199336	58118068	38383	LSC0018_Bl_CD34pCD38p	GSM5973399	CD34+CD38+		Positive	0.744378812408476	LMPP	Zeng et al.	LSC0018
GSM5973400	GSE199336	49173235	40993	LSC0019_Bl_CD34mCD38m	GSM5973400	CD34-CD38-		Negative	0.436465374450886	CD16 Mono	Zeng et al.	LSC0019
GSM5973401	GSE199336	65498587	32241	LSC0019_Bl_CD34pCD38p	GSM5973401	CD34+CD38+		Positive	0.494544016947773	LMPP	Zeng et al.	LSC0019
GSM5973402	GSE199336	39531070	36546	LSC0021_Bl_CD34mCD38p	GSM5973402	CD34-CD38+		Negative	0.514849784097169	GMP	Zeng et al.	LSC0021
GSM5973403	GSE199336	55253777	43068	LSC0022_Bl_CD34pCD38p	GSM5973403	CD34+CD38+		Positive	0.420507468737865	HSC	Zeng et al.	LSC0022
GSM5973404	GSE199336	38166179	40242	LSC0023_Bl_CD34mCD38m	GSM5973404	CD34-CD38-		Negative	0.399069903949947	CD16 Mono	Zeng et al.	LSC0023
GSM5973405	GSE199336	73724840	38029	LSC0023_Bl_CD34mCD38p	GSM5973405	CD34-CD38+		Negative	0.416314713395104	CD14 Mono	Zeng et al.	LSC0023
GSM5973406	GSE199336	50546415	41011	LSC0023_Bl_CD34pCD38p	GSM5973406	CD34+CD38+		Positive	0.60229197666444	HSC	Zeng et al.	LSC0023
GSM5973407	GSE199336	47128324	40336	LSC0024_Bl_CD34mCD38m	GSM5973407	CD34-CD38-		Negative	0.333123852158445	HSC	Zeng et al.	LSC0024
GSM5973408	GSE199336	60815214	41999	LSC0025_Bl_CD34pCD38p	GSM5973408	CD34+CD38+		Positive	0.374704888407417	MEP	Zeng et al.	LSC0025
GSM5973409	GSE199336	55859864	35172	LSC0027_Bl_CD34mCD38m	GSM5973409	CD34-CD38-		Negative	0.734450640697238	MEP	Zeng et al.	LSC0027
